Sequence #,Freq (MHz),Modulation,BW (Hz),SF,Coding Rate,ADR,Time,Chan,RSSI (dBm),SNR (dB)
30,867.9,LoRa,125,SF11,4/5,on,2015-07-07 12:04:18,3,-122,-9
24,867.1,LoRa,125,SF10,4/5,on,2015-07-07 12:04:12,0,-122,-12.5
22,867.9,LoRa,125,SF12,4/5,on,2015-07-07 12:04:10,3,-121,-11
10,867.25,LoRa,125,SF10,4/5,on,2015-07-07 12:04:00,3,-124,-11
4,867.1,LoRa,125,SF9,4/5,on,2015-07-07 12:03:54,0,-124,-9.8
2,867.9,LoRa,125,SF11,4/5,on,2015-07-07 12:03:53,3,-124,-11.2
10,867.9,LoRa,125,SF10,4/5,on,2015-07-07 12:03:05,3,-122,-14.2
2,867.9,LoRa,125,SF11,4/5,on,2015-07-07 11:08:49,3,-122,-9.8
72,867.1,LoRa,125,SF11,4/5,on,2015-07-07 11:08:37,0,-122,-9.5
66,867.5,LoRa,125,SF10,4/5,on,2015-07-07 11:08:31,3,-124,-14.8
64,867.9,LoRa,125,SF12,4/5,on,2015-07-07 11:08:29,0,-121,-14.5
58,867.9,LoRa,125,SF11,4/5,on,2015-07-07 11:08:24,3,-122,-13.2
50,867.9,LoRa,125,SF12,4/5,on,2015-07-07 11:08:17,3,-124,-15
24,867.1,LoRa,125,SF10,4/5,on,2015-07-07 11:07:53,0,-124,-8.2
22,867.9,LoRa,125,SF12,4/5,on,2015-07-07 11:07:51,3,-120,-13.2
7004,867.1,LoRa,125,SF9,4/5,on,2015-07-06 13:49:06,0,-122,-5.8
7002,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:49:04,3,-124,-13.2
6996,867.1,LoRa,125,SF10,4/5,on,2015-07-06 13:48:59,0,-124,-12.5
6988,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:48:51,0,-122,-8.8
6976,867.1,LoRa,125,SF9,4/5,on,2015-07-06 13:48:40,0,-122,-9.5
6960,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:48:26,0,-122,-7
6948,867.1,LoRa,125,SF9,4/5,on,2015-07-06 13:48:15,0,-122,-10.8
6926,867.9,LoRa,125,SF10,4/5,on,2015-07-06 13:47:55,3,-124,-10.5
6920,867.1,LoRa,125,SF9,4/5,on,2015-07-06 13:47:50,0,-124,-11.5
6910,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:47:41,3,-124,-11.8
6900,867.1,LoRa,125,SF8,4/5,on,2015-07-06 13:47:31,0,-122,-5.8
6890,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:47:23,3,-120,-12.5
6840,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:46:37,0,-124,-8.5
6834,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:46:32,3,-120,-14.5
6806,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:46:07,3,-124,-8.2
6518,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:41:47,3,-122,-15
6456,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:40:51,0,-122,-13
