Sequence #,Freq (MHz),Modulation,BW (Hz),SF,Coding Rate,ADR,Time,Chan,RSSI (dBm),SNR (dB)
22,867.9,LoRa,125,SF12,4/5,on,2015-07-08 09:09:57,7,-76,13.2
21,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:09:55,8,-79,9.5
20,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:09:55,3,-79,9.5
18,867.9,LoRa,125,SF9,4/5,on,2015-07-08 09:09:53,7,-90,12.5
16,868.5,LoRa,125,SF11,4/5,on,2015-07-08 09:09:52,2,-80,9.5
15,867.3,LoRa,125,SF12,4/5,on,2015-07-08 09:09:51,4,-86,11
14,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:09:49,8,-77,2.2
13,868.3,LoRa,125,SF7,4/5,on,2015-07-08 09:09:48,1,-78,10.8
11,867.3,LoRa,125,SF9,4/5,on,2015-07-08 09:09:47,4,-78,12
9,868.1,LoRa,125,SF11,4/5,on,2015-07-08 09:09:46,0,-80,10.5
8,868.5,LoRa,125,SF12,4/5,on,2015-07-08 09:09:44,2,-92,3.2
7,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:09:42,8,-78,10.2
6,867.9,LoRa,125,SF7,4/5,on,2015-07-08 09:09:42,7,-78,9.2
5,868.1,LoRa,125,SF8,4/5,on,2015-07-08 09:09:41,0,-84,11
4,867.1,LoRa,125,SF9,4/5,on,2015-07-08 09:09:41,3,-86,13
3,867.5,LoRa,125,SF10,4/5,on,2015-07-08 09:09:40,5,-81,8.8
2,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:09:39,7,-83,12.2
1,868.3,LoRa,125,SF12,4/5,on,2015-07-08 09:09:38,1,-77,8.2
1512,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:09:31,8,-72,10
1511,867.3,LoRa,125,SF7,4/5,on,2015-07-08 09:09:30,4,-85,10.8
1509,868.3,LoRa,125,SF9,4/5,on,2015-07-08 09:09:29,1,-77,11.5
1507,867.3,LoRa,125,SF11,4/5,on,2015-07-08 09:09:28,4,-67,11.8
1506,867.9,LoRa,125,SF12,4/5,on,2015-07-08 09:09:27,7,-77,11.8
1505,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:09:24,8,-77,10.2
1504,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:09:24,3,-82,10.8
1503,867.3,LoRa,125,SF8,4/5,on,2015-07-08 09:09:24,4,-86,12.5
1502,867.9,LoRa,125,SF9,4/5,on,2015-07-08 09:09:23,7,-90,12.8
1501,868.3,LoRa,125,SF10,4/5,on,2015-07-08 09:09:22,1,-90,12
1500,868.5,LoRa,125,SF11,4/5,on,2015-07-08 09:09:22,2,-68,10.5
1498,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:09:18,8,-73,10
1497,868.1,LoRa,125,SF7,4/5,on,2015-07-08 09:09:18,0,-80,9.8
1495,867.5,LoRa,125,SF9,4/5,on,2015-07-08 09:09:17,5,-76,8.5
1493,868.1,LoRa,125,SF11,4/5,on,2015-07-08 09:09:15,0,-82,10.2
1492,868.5,LoRa,125,SF12,4/5,on,2015-07-08 09:09:14,2,-88,3.8
1491,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:09:12,8,-75,9.8
1490,867.7,LoRa,125,SF7,4/5,on,2015-07-08 09:09:11,6,-78,10.8
1488,868.5,LoRa,125,SF9,4/5,on,2015-07-08 09:09:10,2,-90,9
1486,867.7,LoRa,125,SF11,4/5,on,2015-07-08 09:09:09,6,-82,13.5
1485,868.1,LoRa,125,SF12,4/5,on,2015-07-08 09:09:08,0,-108,5.2
1484,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:09:05,8,-83,9.5
1483,867.3,LoRa,125,SF7,4/5,on,2015-07-08 09:09:05,4,-79,8.5
1482,867.7,LoRa,125,SF8,4/5,on,2015-07-08 09:09:05,6,-84,12
1481,868.1,LoRa,125,SF9,4/5,on,2015-07-08 09:09:04,0,-84,12
1479,867.5,LoRa,125,SF11,4/5,on,2015-07-08 09:09:03,5,-79,10.2
1478,867.7,LoRa,125,SF12,4/5,on,2015-07-08 09:09:01,6,-91,12.5
1477,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:59,8,-82,9.2
1476,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:08:59,3,-96,9.5
1474,867.9,LoRa,125,SF9,4/5,on,2015-07-08 09:08:58,7,-88,12.8
1472,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:08:56,3,-102,12.2
1471,867.5,LoRa,125,SF12,4/5,on,2015-07-08 09:08:55,5,-87,9
1470,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:53,8,-86,10
1469,868.1,LoRa,125,SF7,4/5,on,2015-07-08 09:08:52,0,-91,10
1468,867.1,LoRa,125,SF8,4/5,on,2015-07-08 09:08:52,3,-86,12
1467,867.5,LoRa,125,SF9,4/5,on,2015-07-08 09:08:51,5,-96,9.2
1465,868.3,LoRa,125,SF11,4/5,on,2015-07-08 09:08:50,1,-82,11
1464,868.5,LoRa,125,SF12,4/5,on,2015-07-08 09:08:49,2,-97,3
1463,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:47,8,-85,10.5
1462,867.7,LoRa,125,SF7,4/5,on,2015-07-08 09:08:46,6,-94,10.5
1460,868.5,LoRa,125,SF9,4/5,on,2015-07-08 09:08:45,2,-90,9.5
1458,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:08:44,7,-86,12.5
1457,868.1,LoRa,125,SF12,4/5,on,2015-07-08 09:08:42,0,-98,2.2
1456,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:40,8,-90,9.2
1455,867.5,LoRa,125,SF7,4/5,on,2015-07-08 09:08:40,5,-84,7.8
1454,867.9,LoRa,125,SF8,4/5,on,2015-07-08 09:08:39,7,-90,11.5
1453,868.1,LoRa,125,SF9,4/5,on,2015-07-08 09:08:39,0,-106,13
1451,867.5,LoRa,125,SF11,4/5,on,2015-07-08 09:08:37,5,-84,9.2
1450,867.7,LoRa,125,SF12,4/5,on,2015-07-08 09:08:36,6,-88,11.2
1449,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:34,8,-90,9.8
1448,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:08:33,3,-96,10.5
1446,867.9,LoRa,125,SF9,4/5,on,2015-07-08 09:08:32,7,-98,12.8
1444,868.5,LoRa,125,SF11,4/5,on,2015-07-08 09:08:31,2,-92,9.5
1443,867.5,LoRa,125,SF12,4/5,on,2015-07-08 09:08:30,5,-106,9.8
1442,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:28,8,-97,8.8
1441,868.1,LoRa,125,SF7,4/5,on,2015-07-08 09:08:27,0,-90,8.8
1439,867.5,LoRa,125,SF9,4/5,on,2015-07-08 09:08:26,5,-92,9.2
1437,868.3,LoRa,125,SF11,4/5,on,2015-07-08 09:08:25,1,-85,9.5
1436,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:08:23,3,-90,11
1435,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:21,8,-96,7
1434,867.7,LoRa,125,SF7,4/5,on,2015-07-08 09:08:21,6,-92,8.8
1432,868.5,LoRa,125,SF9,4/5,on,2015-07-08 09:08:20,2,-97,9.2
1430,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:08:18,7,-86,12
1429,868.1,LoRa,125,SF12,4/5,on,2015-07-08 09:08:17,0,-90,4.2
1428,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:15,8,-89,9.8
1427,867.5,LoRa,125,SF7,4/5,on,2015-07-08 09:08:15,5,-80,7.5
1426,867.7,LoRa,125,SF8,4/5,on,2015-07-08 09:08:14,6,-98,11
1425,868.1,LoRa,125,SF9,4/5,on,2015-07-08 09:08:13,0,-102,12
1423,867.5,LoRa,125,SF11,4/5,on,2015-07-08 09:08:12,5,-89,9.2
1422,867.7,LoRa,125,SF12,4/5,on,2015-07-08 09:08:11,6,-90,11.5
1421,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:09,8,-87,10.2
1420,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:08:08,3,-82,9.5
1418,867.7,LoRa,125,SF9,4/5,on,2015-07-08 09:08:07,6,-90,12.8
1416,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:08:06,3,-76,13.5
1415,867.3,LoRa,125,SF12,4/5,on,2015-07-08 09:08:04,4,-120,12
1414,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:08:02,8,-95,9.5
1413,868.1,LoRa,125,SF7,4/5,on,2015-07-08 09:08:02,0,-84,10.5
1411,867.5,LoRa,125,SF9,4/5,on,2015-07-08 09:08:01,5,-90,6.8
1409,868.3,LoRa,125,SF11,4/5,on,2015-07-08 09:07:59,1,-87,12
1408,868.5,LoRa,125,SF12,4/5,on,2015-07-08 09:07:58,2,-86,4.2
1407,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:07:56,8,-89,8.8
1406,867.7,LoRa,125,SF7,4/5,on,2015-07-08 09:07:56,6,-74,10
1405,868.1,LoRa,125,SF8,4/5,on,2015-07-08 09:07:55,0,-92,12
1404,868.5,LoRa,125,SF9,4/5,on,2015-07-08 09:07:55,2,-94,8.8
1403,867.3,LoRa,125,SF10,4/5,on,2015-07-08 09:07:54,4,-83,9.5
1402,867.7,LoRa,125,SF11,4/5,on,2015-07-08 09:07:53,6,-91,13.5
1400,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:07:50,8,-103,9
1399,867.5,LoRa,125,SF7,4/5,on,2015-07-08 09:07:49,5,-86,7.2
1397,868.1,LoRa,125,SF9,4/5,on,2015-07-08 09:07:48,0,-98,12
1395,867.3,LoRa,125,SF11,4/5,on,2015-07-08 09:07:47,4,-86,11.2
1394,867.7,LoRa,125,SF12,4/5,on,2015-07-08 09:07:45,6,-88,11.5
1393,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:07:43,8,-87,9.8
1392,868.5,LoRa,125,SF7,4/5,on,2015-07-08 09:07:43,2,-88,7.8
1391,867.5,LoRa,125,SF8,4/5,on,2015-07-08 09:07:42,5,-94,8.8
1390,867.9,LoRa,125,SF9,4/5,on,2015-07-08 09:07:42,7,-103,14
1388,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:07:40,3,-90,10.2
1387,867.5,LoRa,125,SF12,4/5,on,2015-07-08 09:07:39,5,-104,10.5
