Sequence,Start Time,End Time,Start row,End row
1,2015-07-08 12:26:27,2015-07-08 14:34:41,329,2
2,2015-07-08 09:10:35,2015-07-08 09:11:19,336,330
3,2015-07-08 08:44:48,2015-07-08 09:09:01,727,337
4,2015-07-07 14:47:22,2015-07-07 14:48:03,750,728
5,2015-07-07 12:07:02,2015-07-07 12:07:41,768,751
6,2015-07-07 12:03:52,2015-07-07 12:04:33,787,769
7,2015-07-07 12:03:40,2015-07-07 12:03:40,788,788
8,2015-07-07 12:02:57,2015-07-07 12:03:16,794,789
9,2015-07-07 11:08:48,2015-07-07 11:09:02,802,795
10,2015-07-07 11:07:33,2015-07-07 11:08:38,833,803
11,2015-07-06 11:31:12,2015-07-06 13:49:03,2089,834
12,2015-07-02 08:22:50,2015-07-02 08:28:58,2107,2090
13,2015-07-02 08:08:01,2015-07-02 08:09:23,2118,2108
14,2015-07-02 08:04:19,2015-07-02 08:05:25,2123,2119
15,2015-07-01 12:10:15,2015-07-01 12:12:05,2130,2124
16,2015-07-01 12:09:39,2015-07-01 12:09:39,2131,2131
17,2015-07-01 10:28:29,2015-07-01 10:54:24,2135,2132
18,2015-07-01 10:17:42,2015-07-01 10:24:22,2137,2136
19,2015-07-01 09:52:38,2015-07-01 09:52:38,2138,2138
20,2015-07-01 09:51:29,2015-07-01 09:52:24,2142,2139
21,2015-06-30 13:24:38,2015-06-30 13:41:13,2147,2143
22,2015-06-30 13:24:10,2015-06-30 13:24:30,2149,2148
23,2015-06-30 12:25:06,2015-06-30 12:31:22,2151,2150
24,2015-06-30 12:23:53,2015-06-30 12:24:19,2153,2152
25,2015-06-30 12:23:34,2015-06-30 12:23:34,2154,2154
26,2015-06-30 10:05:24,2015-06-30 11:08:09,2158,2155
27,2015-06-30 10:01:52,2015-06-30 10:01:57,2160,2159
28,2015-06-30 09:56:49,2015-06-30 09:59:32,2162,2161
29,2015-06-29 15:08:32,2015-06-29 15:14:13,2166,2163
30,2015-06-29 14:45:36,2015-06-29 14:45:36,2167,2167
31,2015-06-26 13:52:11,2015-06-26 13:58:14,2170,2168
32,2015-06-26 13:36:24,2015-06-26 13:47:58,2175,2171
33,2015-06-26 13:35:11,2015-06-26 13:35:20,2177,2176
34,2015-06-26 13:26:48,2015-06-26 13:33:20,2181,2178
35,2015-06-26 13:15:43,2015-06-26 13:26:06,2183,2182
36,2015-06-26 13:11:31,2015-06-26 13:14:44,2186,2184
37,2015-06-26 13:07:59,2015-06-26 13:09:01,2188,2187
38,2015-06-26 13:00:23,2015-06-26 13:03:02,2191,2189
39,2015-06-26 12:56:08,2015-06-26 12:58:48,2194,2192
40,2015-06-26 12:54:16,2015-06-26 12:54:26,2196,2195
41,2015-06-26 12:42:26,2015-06-26 12:52:34,2198,2197
42,2015-06-26 12:04:05,2015-06-26 12:37:56,2204,2199
43,2015-06-26 11:39:38,2015-06-26 12:03:54,2215,2205
44,2015-06-26 10:56:01,2015-06-26 10:59:11,2217,2216
45,2015-06-26 10:55:26,2015-06-26 10:55:36,2219,2218
46,2015-06-26 10:54:01,2015-06-26 10:54:01,2220,2220
47,2015-06-26 08:38:15,2015-06-26 09:28:11,2248,2221
48,2015-06-19 12:11:55,2015-06-19 12:37:52,2303,2249
49,2015-06-19 11:39:40,2015-06-19 12:10:07,2423,2304
50,2015-06-19 11:38:32,2015-06-19 11:39:21,2426,2424
51,2015-06-19 09:10:55,2015-06-19 11:31:20,2430,2427
52,2015-06-17 12:08:21,2015-06-17 15:14:03,3314,2431
53,2015-06-17 12:06:00,2015-06-17 12:08:05,3318,3315
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
