Sequence,Start Time,End Time,Start row,End row
1,2015-07-08 12:27:28,2015-07-08 14:34:36,464,2
2,2015-07-08 08:44:49,2015-07-08 09:08:58,528,465
3,2015-07-07 14:47:41,2015-07-07 14:47:49,530,529
4,2015-07-07 12:07:05,2015-07-07 12:07:23,532,531
5,2015-07-07 12:03:54,2015-07-07 12:04:19,538,533
6,2015-07-07 11:08:50,2015-07-07 12:03:05,540,539
7,2015-07-07 11:07:52,2015-07-07 11:08:38,547,541
8,2015-07-06 12:04:10,2015-07-06 13:49:06,893,548
9,2015-07-01 09:51:29,2015-07-06 11:32:18,902,894
10,2015-06-29 15:06:28,2015-06-30 13:33:02,908,903
11,2015-06-29 14:45:36,2015-06-29 14:45:36,909,909
12,2015-06-26 13:35:11,2015-06-26 13:55:12,913,910
13,2015-06-26 12:52:34,2015-06-26 13:29:24,920,914
14,2015-06-26 11:39:57,2015-06-26 12:37:56,922,921
15,2015-06-26 08:46:46,2015-06-26 09:19:46,927,923
16,2015-06-19 12:16:38,2015-06-19 12:35:23,934,928
17,2015-06-19 09:10:55,2015-06-19 12:02:10,944,935
18,2015-06-17 12:08:26,2015-06-17 15:12:51,1091,945
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
