Sequence,Start Time,End Time,Start row,End row
1,2015-07-08 12:26:25,2015-07-08 14:34:38,1106,2
2,2015-07-08 09:10:12,2015-07-08 09:11:13,1111,1107
3,2015-07-08 08:44:48,2015-07-08 09:09:20,1599,1112
4,2015-07-07 14:47:26,2015-07-07 14:48:02,1613,1600
5,2015-07-07 12:07:03,2015-07-07 12:07:41,1628,1614
6,2015-07-07 12:03:55,2015-07-07 12:04:32,1639,1629
7,2015-07-07 12:03:39,2015-07-07 12:03:45,1642,1640
8,2015-07-07 12:02:59,2015-07-07 12:03:11,1648,1643
9,2015-07-07 11:08:50,2015-07-07 11:09:01,1652,1649
10,2015-07-07 11:07:35,2015-07-07 11:08:38,1674,1653
11,2015-07-06 13:50:39,2015-07-06 13:50:51,1678,1675
12,2015-07-06 12:03:49,2015-07-06 13:49:04,3613,1679
13,2015-07-06 11:31:05,2015-07-06 11:32:28,3639,3614
14,2015-07-02 09:22:29,2015-07-02 09:53:41,3647,3640
15,2015-07-02 08:22:57,2015-07-02 08:26:04,3661,3648
16,2015-07-02 08:07:47,2015-07-02 08:09:59,3675,3662
17,2015-07-02 08:04:30,2015-07-02 08:04:44,3678,3676
18,2015-07-01 12:10:15,2015-07-01 12:12:05,3688,3679
19,2015-07-01 12:06:26,2015-07-01 12:09:39,3690,3689
20,2015-07-01 10:17:42,2015-07-01 10:37:34,3694,3691
21,2015-06-30 13:34:17,2015-07-01 09:52:38,3698,3695
22,2015-06-30 12:23:53,2015-06-30 13:33:02,3703,3699
23,2015-06-30 10:05:24,2015-06-30 11:05:29,3706,3704
24,2015-06-29 15:17:23,2015-06-30 10:04:37,3710,3707
25,2015-06-29 15:04:52,2015-06-29 15:16:48,3717,3711
26,2015-06-26 13:49:01,2015-06-26 13:58:14,3722,3718
27,2015-06-26 13:35:11,2015-06-26 13:47:49,3725,3723
28,2015-06-26 13:24:05,2015-06-26 13:29:24,3727,3726
29,2015-06-26 13:09:01,2015-06-26 13:14:44,3729,3728
30,2015-06-26 13:02:54,2015-06-26 13:06:04,3731,3730
31,2015-06-26 12:58:48,2015-06-26 13:02:47,3733,3732
32,2015-06-26 12:35:05,2015-06-26 12:37:56,3735,3734
33,2015-06-26 11:37:30,2015-06-26 12:00:53,3742,3736
34,2015-06-26 10:56:01,2015-06-26 10:59:11,3745,3743
35,2015-06-26 10:55:36,2015-06-26 10:55:36,3746,3746
36,2015-06-26 08:38:15,2015-06-26 09:25:26,3763,3747
37,2015-06-19 12:11:55,2015-06-19 12:37:37,3794,3764
38,2015-06-19 11:39:40,2015-06-19 12:09:52,3878,3795
39,2015-06-19 11:38:37,2015-06-19 11:39:21,3881,3879
40,2015-06-19 09:10:55,2015-06-19 11:31:20,3886,3882
41,2015-06-17 12:08:26,2015-06-17 15:14:03,4453,3887
42,2015-06-17 12:05:27,2015-06-17 12:08:05,4457,4454
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
